类别ID,类别名称,精确率,召回率,F1分数,支持度
0,类别0,0.9117647058823529,1.0,0.9538461538461539,31
1,类别1,0.9041533546325878,0.8498498498498499,0.8761609907120743,333
2,类别2,0.8957055214723927,0.863905325443787,0.8795180722891566,338
3,类别3,0.9530516431924883,0.9575471698113207,0.9552941176470588,212
4,类别4,0.96,0.9696969696969697,0.964824120603015,297
5,类别5,0.8622047244094488,0.7849462365591398,0.8217636022514071,279
6,类别6,0.984375,1.0,0.9921259842519685,63
7,类别7,0.8981481481481481,0.8981481481481481,0.8981481481481481,216
8,类别8,0.8181818181818182,0.8915094339622641,0.8532731376975169,212
9,类别9,0.990990990990991,0.995475113122172,0.9932279909706546,221
10,类别10,0.9966996699669967,1.0,0.9983471074380166,302
11,类别11,0.9842931937172775,0.9494949494949495,0.9665809768637532,198
12,类别12,0.9936708860759493,0.9968253968253968,0.9952456418383518,315
13,类别13,0.9938461538461538,0.9969135802469136,0.9953775038520801,324
14,类别14,0.9914529914529915,0.9914529914529915,0.9914529914529915,117
15,类别15,0.9595959595959596,1.0,0.979381443298969,95
16,类别16,1.0,1.0,1.0,63
17,类别17,0.9823529411764705,1.0,0.9910979228486647,167
18,类别18,0.988950276243094,0.9944444444444445,0.9916897506925207,180
19,类别19,0.9393939393939394,1.0,0.96875,31
20,类别20,0.9814814814814815,0.9814814814814815,0.9814814814814815,54
21,类别21,0.94,0.9591836734693877,0.9494949494949495,49
22,类别22,0.9827586206896551,0.9827586206896551,0.9827586206896551,58
23,类别23,0.9615384615384616,0.974025974025974,0.967741935483871,77
24,类别24,0.975609756097561,1.0,0.9876543209876543,40
25,类别25,0.9695652173913043,0.9911111111111112,0.9802197802197802,225
26,类别26,1.0,1.0,1.0,90
27,类别27,0.9444444444444444,0.9444444444444444,0.9444444444444444,36
28,类别28,0.926829268292683,0.9382716049382716,0.9325153374233128,81
29,类别29,0.9024390243902439,0.925,0.9135802469135802,40
30,类别30,0.9253731343283582,0.9253731343283582,0.9253731343283582,67
31,类别31,0.9830508474576272,0.9914529914529915,0.9872340425531915,117
32,类别32,0.972972972972973,1.0,0.9863013698630136,36
33,类别33,0.9811320754716981,1.0,0.9904761904761905,104
34,类别34,0.984375,1.0,0.9921259842519685,63
35,类别35,0.9835164835164835,0.9944444444444445,0.988950276243094,180
36,类别36,0.9661016949152542,0.9827586206896551,0.9743589743589743,58
37,类别37,1.0,1.0,1.0,31
38,类别38,0.9871794871794872,0.9903536977491961,0.9887640449438202,311
39,类别39,0.9361702127659575,0.9777777777777777,0.9565217391304348,45
40,类别40,0.9622641509433962,0.9444444444444444,0.9532710280373832,54
41,类别41,0.9473684210526315,1.0,0.972972972972973,36
42,类别42,0.972972972972973,1.0,0.9863013698630136,36
