Index,ClassId,Split
0,18,train
1,1,train
2,8,train
3,8,train
4,18,train
5,5,train
6,7,train
7,42,train
8,11,train
9,12,train
10,12,train
11,2,train
12,13,train
13,23,train
14,13,train
15,14,train
16,7,train
17,31,train
18,37,train
19,32,train
20,31,train
21,10,train
22,10,train
23,1,train
24,11,train
25,8,train
26,13,train
27,15,train
28,13,train
29,30,train
30,5,train
31,38,train
32,2,train
33,11,train
34,23,train
35,25,train
36,30,train
37,11,train
38,9,train
39,25,train
40,31,train
41,33,train
42,2,train
43,25,train
44,27,train
45,38,train
46,9,train
47,33,train
48,26,train
49,25,train
50,14,train
51,13,train
52,34,train
53,2,train
54,13,train
55,7,train
56,9,train
57,25,train
58,2,train
59,2,train
60,18,train
61,25,train
62,20,train
63,1,train
64,5,train
65,20,train
66,2,train
67,30,train
68,4,train
69,2,train
70,3,train
71,8,train
72,2,train
73,9,train
74,17,train
75,13,train
76,42,train
77,10,train
78,2,train
79,17,train
80,1,train
81,3,train
82,5,train
83,28,train
84,42,train
85,38,train
86,25,train
87,4,train
88,12,train
89,30,train
90,31,train
91,1,train
92,13,train
93,25,train
94,9,train
95,24,train
96,11,train
97,17,train
98,35,train
99,12,train
100,9,train
101,16,train
102,17,train
103,7,train
104,38,train
105,2,train
106,1,train
107,3,train
108,24,train
109,7,train
110,20,train
111,7,train
112,2,train
113,36,train
114,39,train
115,17,train
116,10,train
117,14,train
118,35,train
119,8,train
120,18,train
121,3,train
122,1,train
123,31,train
124,33,train
125,13,train
126,10,train
127,27,train
128,17,train
129,9,train
130,35,train
131,11,train
132,25,train
133,8,train
134,1,train
135,2,train
136,18,train
137,10,train
138,10,train
139,4,train
140,33,train
141,24,train
142,10,train
143,28,train
144,6,train
145,6,train
146,3,train
147,3,train
148,28,train
149,35,train
150,4,train
151,3,train
152,11,train
153,5,train
154,20,train
155,5,train
156,17,train
157,38,train
158,4,train
159,37,train
160,22,train
161,12,train
162,13,train
163,41,train
164,2,train
165,2,train
166,2,train
167,7,train
168,7,train
169,38,train
170,2,train
171,14,train
172,33,train
173,29,train
174,2,train
175,13,train
176,14,train
177,17,train
178,38,train
179,4,train
180,33,train
181,18,train
182,25,train
183,15,train
184,37,train
185,10,train
186,8,train
187,38,train
188,1,train
189,17,train
190,13,train
191,1,train
192,23,train
193,18,train
194,2,train
195,9,train
196,25,train
197,38,train
198,38,train
199,10,train
200,29,train
201,13,train
202,13,train
203,5,train
204,12,train
205,8,train
206,34,train
207,21,train
208,15,train
209,14,train
210,14,train
211,6,train
212,8,train
213,4,train
214,8,train
215,25,train
216,9,train
217,38,train
218,14,train
219,8,train
220,35,train
221,25,train
222,40,train
223,10,train
224,12,train
225,29,train
226,31,train
227,13,train
228,30,train
229,17,train
230,12,train
231,5,train
232,25,train
233,25,train
234,11,train
235,23,train
236,21,train
237,19,train
238,38,train
239,5,train
240,38,train
241,10,train
242,25,train
243,6,train
244,25,train
245,25,train
246,35,train
247,1,train
248,2,train
249,4,train
250,2,train
251,1,train
252,27,train
253,13,train
254,29,train
255,25,train
256,22,train
257,12,train
258,4,train
259,13,train
260,33,train
261,2,train
262,12,train
263,38,train
264,35,train
265,15,train
266,1,train
267,11,train
268,3,train
269,9,train
270,38,train
271,9,train
272,40,train
273,4,train
274,30,train
275,5,train
276,10,train
277,3,train
278,13,train
279,15,train
280,2,train
281,7,train
282,39,train
283,23,train
284,2,train
285,9,train
286,3,train
287,7,train
288,10,train
289,0,train
290,2,train
291,35,train
292,39,train
293,7,train
294,20,train
295,7,train
296,23,train
297,3,train
298,18,train
299,25,train
300,26,train
301,1,train
302,8,train
303,11,train
304,15,train
305,20,train
306,11,train
307,38,train
308,13,train
309,10,train
310,13,train
311,36,train
312,2,train
313,3,train
314,38,train
315,11,train
316,38,train
317,10,train
318,17,train
319,8,train
320,30,train
321,23,train
322,35,train
323,25,train
324,25,train
325,5,train
326,14,train
327,17,train
328,18,train
329,12,train
330,5,train
331,14,train
332,35,train
333,8,train
334,2,train
335,31,train
336,11,train
337,4,train
338,14,train
339,23,train
340,5,train
341,2,train
342,33,train
343,25,train
344,10,train
345,8,train
346,4,train
347,15,train
348,28,train
349,1,train
350,8,train
351,14,train
352,33,train
353,4,train
354,29,train
355,12,train
356,10,train
357,4,train
358,8,train
359,2,train
360,15,train
361,1,train
362,5,train
363,19,train
364,23,train
365,38,train
366,4,train
367,13,train
368,33,train
369,35,train
370,11,train
